Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscriber Type,Zip Code
452424,308,9/14/2014 19:24,Castro Street and El Camino Real,32,9/14/2014 19:29,Mountain View Caltrain Station,28,52,Subscriber,94043
452423,838,9/14/2014 19:22,Harry Bridges Plaza (Ferry Building),50,9/14/2014 19:36,Yerba Buena Center of the Arts (3rd @ Howard),68,464,Customer,96720
452422,903,9/14/2014 19:19,Powell Street BART,39,9/14/2014 19:34,Powell Street BART,39,412,Customer,nil
452418,297,9/14/2014 19:14,Temporary Transbay Terminal (Howard at Beale),55,9/14/2014 19:19,Embarcadero at Bryant,54,442,Subscriber,94107
452417,794,9/14/2014 19:12,Harry Bridges Plaza (Ferry Building),50,9/14/2014 19:25,San Francisco Caltrain (Townsend at 4th),70,622,Subscriber,94306
452416,313,9/14/2014 19:11,Mountain View Caltrain Station,28,9/14/2014 19:16,Castro Street and El Camino Real,32,52,Subscriber,94043
452415,269,9/14/2014 19:08,2nd at South Park,64,9/14/2014 19:12,Yerba Buena Center of the Arts (3rd @ Howard),68,602,Subscriber,94107
452414,226,9/14/2014 18:59,Embarcadero at Bryant,54,9/14/2014 19:03,Temporary Transbay Terminal (Howard at Beale),55,442,Subscriber,94107
452413,955,9/14/2014 18:52,San Francisco City Hall,58,9/14/2014 19:08,Commercial at Montgomery,45,439,Customer,94111
452412,657,9/14/2014 18:50,Embarcadero at Sansome,60,9/14/2014 19:01,Harry Bridges Plaza (Ferry Building),50,464,Customer,96720
452411,2101,9/14/2014 18:49,Ryland Park,84,9/14/2014 19:24,Ryland Park,84,10,Customer,
452410,2150,9/14/2014 18:48,Ryland Park,84,9/14/2014 19:24,Ryland Park,84,698,Customer,
452409,1136,9/14/2014 18:47,Spear at Folsom,49,9/14/2014 19:06,Mechanics Plaza (Market at Battery),75,484,Customer,94610
452408,1126,9/14/2014 18:47,Spear at Folsom,49,9/14/2014 19:06,Mechanics Plaza (Market at Battery),75,309,Customer,94610
452406,2342,9/14/2014 18:45,Ryland Park,84,9/14/2014 19:24,Ryland Park,84,39,Customer,
